Geohash,vec
9q5f9,0.8254249999999959 -0.4980150000000077 0.4272700000000121 -0.7002599999999942 0.5346950000000246 0.7751249999999761 0.3926699999999936 0.7845099999999751 -0.006880000000000177 0.4964149999999882 -0.02514149999999921 -0.9751049999999883 -0.36515000000000614 -0.41965000000000874 -0.06902049999999726 -0.9241700000000035 0.5809400000000261 0.692249999999985 -0.3866300000000012 0.06077150000000109 0.2102795000000079 0.17748000000000239 -0.7321600000000162 0.35620999999999664 0.43095500000000825 -0.2873799999999957 0.3612150000000068 -1.1249000000000213 -0.010118500000000405 0.030046499999999202 -0.05454450000000122 0.12223050000000055 0.21611500000000178 0.8219599999999911 -0.2735799999999936 -0.17140499999999448 0.46942500000000104 -0.43349999999998867 0.475580000000008 0.2953049999999956 0.11964050000000218 -0.4926600000000007 -0.9341999999999774 -0.5584750000000157 0.927865000000038 -0.2940600000000017 -0.5101849999999863 -0.8137750000000114 -0.017959999999999504 -0.003433499999999925 -0.19723800000000583 -0.33449000000000056 -0.4106550000000114 -0.4951399999999938 0.2561699999999976 -2.5457500000001194 -0.2960299999999875 0.2787999999999928 1.543850000000018 0.8285000000000111 -1.3266000000000264 0.862624999999984 -0.04639699999999918 -1.1350700000000293 -0.25601499999999405 -0.7377400000000134 0.3881699999999888 0.13102000000000458 -0.40204999999999946 1.256900000000024 -0.18928349999999303 0.7715250000000231 -1.0058650000000224 0.03469900000000147 0.22406999999999772 -0.6404400000000025 0.36761500000000064 -0.09343699999999709 -0.9315549999999617 -0.038099000000001146 -0.007915000000000146 0.4741400000000067 -0.42515500000001 -0.25625000000000725 -0.669360000000001 0.019589000000000054 -0.3930649999999888 0.4734999999999801 -0.4313650000000182 0.02312849999999923 0.19089250000000046 -0.7723900000000048 0.22728999999999644 -0.13696699999999862 -0.5800100000000101 0.7660750000000006 -0.6468700000000153 0.02944600000000008 0.49400500000000913 -0.21798499999999882
9q5cq,0.8254249999999959 -0.4980149999999829 0.42727000000000454 -0.7002600000000211 0.5346950000000356 0.7751249999999462 0.3926699999999794 0.784509999999968 -0.006880000000000131 0.49641500000000227 -0.02514149999999857 -0.9751049999999872 -0.36514999999999403 -0.419650000000022 -0.06902049999999595 -0.9241699999999664 0.5809400000000362 0.6922500000000106 -0.3866299999999897 0.060771499999998264 0.210279500000005 0.1774800000000025 -0.7321600000000181 0.35621000000000924 0.43095500000001924 -0.28737999999999186 0.36121500000000983 -1.1248999999999516 -0.010118500000000545 0.03004649999999858 -0.05454450000000119 0.12223050000000055 0.21611499999999592 0.8219600000000041 -0.273580000000006 -0.17140499999999392 0.469425000000001 -0.4334999999999982 0.4755800000000178 0.2953049999999918 0.11964050000000236 -0.4926599999999763 -0.9341999999999961 -0.5584750000000256 0.9278650000000633 -0.2940599999999823 -0.5101850000000111 -0.8137750000000346 -0.017960000000000368 -0.003433499999999905 -0.19723800000001213 -0.33448999999998635 -0.4106550000000077 -0.49513999999999325 0.2561699999999975 -2.5457500000001567 -0.2960299999999826 0.27880000000000915 1.5438500000000188 0.8285000000000338 -1.3265999999999722 0.8626250000000061 -0.04639699999999909 -1.1350699999999612 -0.2560150000000068 -0.7377400000000195 0.38816999999997376 0.1310199999999978 -0.4020500000000061 1.2568999999999668 -0.1892834999999912 0.7715250000000536 -1.0058650000000442 0.03469900000000213 0.2240699999999927 -0.6404399999999663 0.36761500000000064 -0.09343699999999618 -0.931554999999975 -0.03809900000000164 -0.00791500000000029 0.4741400000000162 -0.4251550000000025 -0.25625000000001263 -0.6693600000000345 0.019589000000001223 -0.3930649999999853 0.4734999999999886 -0.4313650000000099 0.023128499999998994 0.19089250000000663 -0.7723900000000334 0.22728999999999996 -0.13696700000000694 -0.5800099999999742 0.7660750000000006 -0.6468700000000223 0.029445999999998806 0.49400500000001135 -0.21798499999999882
9q5bq,0.8254249999999957 -0.49801499999999843 0.4272699999999875 -0.7002600000000476 0.5346949999999733 0.7751250000000366 0.3926699999999827 0.7845099999999955 -0.006880000000000098 0.4964150000000382 -0.025141499999999893 -0.9751050000001027 -0.3651500000000393 -0.4196500000000043 -0.06902050000000441 -0.9241699999999634 0.5809399999999607 0.6922500000000358 -0.3866299999999783 0.06077149999999233 0.21027949999999465 0.17747999999997482 -0.7321600000000156 0.3562099999999659 0.43095499999999415 -0.28737999999998803 0.36121499999995627 -1.12489999999987 -0.010118499999999121 0.030046499999997967 -0.054544500000000884 0.12223050000000056 0.216114999999969 0.8219600000001175 -0.273580000000023 -0.17140500000002018 0.46942499999994924 -0.43350000000004946 0.47557999999997363 0.295305000000032 0.11964049999998876 -0.49265999999992893 -0.934199999999974 -0.5584749999999555 0.9278649999999891 -0.2940599999999624 -0.5101850000000542 -0.813775000000008 -0.01796000000000134 -0.003433499999999885 -0.19723799999998992 -0.33448999999997225 -0.41065499999998034 -0.4951399999999927 0.25617000000003065 -2.5457499999998014 -0.2960299999999777 0.278800000000029 1.5438500000000195 0.8284999999999996 -1.3266000000001248 0.8626250000000404 -0.04639700000000626 -1.1350700000000473 -0.25601499999999533 -0.7377400000000175 0.38816999999997376 0.13102000000000488 -0.4020499999999814 1.2569000000001023 -0.1892834999999942 0.7715250000000838 -1.005865000000066 0.03469899999999785 0.22406999999998772 -0.640440000000029 0.3676149999999462 -0.09343699999999526 -0.9315550000000502 -0.03809899999999636 -0.007914999999999422 0.4741399999999721 -0.42515499999995027 -0.25624999999998477 -0.6693599999999634 0.01958899999999939 -0.39306499999999944 0.4735000000000255 -0.43136499999995914 0.023128499999999053 0.19089250000001273 -0.7723900000000616 0.22729000000002073 -0.13696700000001755 -0.5800100000000211 0.7660749999999763 -0.6468700000000293 0.02944599999999899 0.49400500000001357 -0.2179849999999988
9q59t,0.8254249999999964 -0.4980150000000045 0.4272699999999947 -0.7002600000000013 0.5346949999999994 0.7751250000000024 0.39267000000000346 0.7845100000000079 -0.006880000000000101 0.49641500000000705 -0.025141500000000126 -0.9751049999999946 -0.3651499999999999 -0.41964999999999597 -0.06902050000000046 -0.9241700000000029 0.5809399999999983 0.6922500000000013 -0.3866299999999972 0.060771500000000665 0.21027949999999884 0.17748000000000172 -0.732160000000006 0.3562100000000027 0.4309550000000047 -0.2873800000000026 0.36121499999999546 -1.1249000000000144 -0.010118499999999937 0.030046499999999778 -0.05454449999999948 0.12223050000000048 0.21611500000000133 0.821959999999993 -0.2735800000000008 -0.17140499999999737 0.469425000000001 -0.4335000000000034 0.4755800000000002 0.29530500000000304 0.1196405000000012 -0.49266000000000065 -0.9341999999999928 -0.5584749999999926 0.9278649999999973 -0.2940600000000016 -0.510185000000001 -0.8137750000000088 -0.017960000000000254 -0.003433500000000033 -0.19723799999999891 -0.3344899999999968 -0.410654999999997 -0.4951399999999968 0.25616999999999807 -2.5457499999999986 -0.2960300000000016 0.2787999999999986 1.543850000000014 0.8285000000000077 -1.3265999999999918 0.8626249999999914 -0.046396999999999695 -1.1350700000000067 -0.25601500000000027 -0.7377399999999902 0.3881700000000019 0.13102000000000083 -0.4020500000000022 1.256899999999983 -0.1892835000000012 0.7715249999999972 -1.0058649999999838 0.034698999999999834 0.22406999999999885 -0.6404400000000077 0.36761500000000064 -0.09343700000000105 -0.9315550000000028 -0.038098999999999945 -0.007914999999999978 0.47414000000000134 -0.42515499999999534 -0.25624999999999715 -0.6693599999999972 0.019588999999999888 -0.39306500000000516 0.47350000000000125 -0.4313649999999998 0.023128500000000225 0.19089250000000088 -0.7723899999999888 0.22728999999999808 -0.13696699999999884 -0.5800099999999998 0.7660750000000006 -0.6468699999999962 0.029446000000000076 0.49400499999999703 -0.21798499999999896
9q5dy,0.8254249999999961 -0.4980150000000065 0.4272700000000055 -0.7002599999999911 0.534695000000002 0.7751250000000025 0.39267000000000596 0.7845099999999895 -0.006879999999999969 0.49641500000000954 -0.025141500000000136 -0.9751049999999907 -0.36515000000000847 -0.4196499999999936 -0.06902049999999997 -0.9241700000000033 0.5809400000000053 0.6922499999999863 -0.3866300000000067 0.06077150000000093 0.21027950000000434 0.17748000000000214 -0.7321600000000124 0.35620999999999525 0.4309549999999959 -0.2873800000000036 0.3612150000000005 -1.1249000000000187 -0.01011850000000012 0.030046500000000264 -0.05454449999999915 0.12223050000000052 0.21611500000000164 0.8219599999999918 -0.27358000000000243 -0.17140499999999556 0.46942500000000104 -0.4334999999999942 0.4755799999999918 0.29530500000000326 0.11964050000000181 -0.4926600000000007 -0.9342000000000089 -0.5584749999999954 0.9278649999999972 -0.29406000000000165 -0.5101849999999919 -0.8137749999999926 -0.017960000000000118 -0.0034334999999999657 -0.19723799999999883 -0.33449000000000007 -0.4106550000000055 -0.4951399999999949 0.2561699999999978 -2.5457500000000435 -0.2960299999999977 0.278799999999995 1.5438500000000166 0.8284999999999906 -1.3266000000000153 0.8626249999999868 -0.046396999999999376 -1.1350700000000207 -0.25601499999999644 -0.7377400000000011 0.38817000000000207 0.13102000000000316 -0.40204999999999197 1.2569000000000006 -0.18928349999999683 0.7715249999999971 -1.005864999999979 0.03469900000000012 0.2240700000000041 -0.6404400000000096 0.36761500000000064 -0.09343699999999898 -0.9315550000000029 -0.03809900000000015 -0.007914999999999853 0.4741399999999915 -0.42515500000000434 -0.25624999999999615 -0.6693599999999915 0.019588999999999877 -0.39306499999999595 0.4735000000000013 -0.4313650000000112 0.023128499999999712 0.19089249999999738 -0.7723899999999825 0.22729000000000318 -0.1369669999999987 -0.5800100000000061 0.7660750000000006 -0.646870000000001 0.02944600000000008 0.4940050000000045 -0.21798499999999887
9q5bk,0.8254249999999959 -0.49801500000000154 0.427270000000014 -0.7002600000000104 0.5346950000000312 0.7751249999999579 0.39266999999998503 0.7845099999999708 -0.006880000000000279 0.4964149999999877 -0.02514149999999866 -0.9751049999999877 -0.36514999999999886 -0.41965000000001673 -0.06902049999999647 -0.9241700000000035 0.5809400000000321 0.6922500000000004 -0.3866299999999943 0.06077150000000065 0.21027950000000892 0.17748000000000247 -0.7321600000000175 0.3562100000000042 0.43095500000001485 -0.2873799999999934 0.3612150000000086 -1.1248999999999845 -0.01011850000000049 0.03004649999999883 -0.054544500000002175 0.12223050000000055 0.21611500000000183 0.8219599999999909 -0.2735799999999991 -0.17140499999999415 0.46942500000000104 -0.43349999999998706 0.4755800000000139 0.2953049999999933 0.11964050000000229 -0.4926599999999954 -0.9341999999999652 -0.5584750000000216 0.9278650000000533 -0.2940599999999903 -0.5101849999999938 -0.8137750000000253 -0.017959999999999976 -0.0034334999999999128 -0.19723800000001027 -0.334489999999992 -0.4106550000000132 -0.4951399999999935 0.25616999999999757 -2.5457500000001416 -0.2960299999999846 0.2788000000000011 1.5438500000000186 0.8285000000000248 -1.3265999999999938 0.8626249999999831 -0.046396999999999126 -1.1350699999999927 -0.2560149999999981 -0.737740000000017 0.38816999999997975 0.13102000000000202 -0.40205000000000607 1.2568999999999897 -0.18928349999999192 0.7715250000000414 -1.0058650000000355 0.03469900000000187 0.2240699999999947 -0.6404399999999807 0.36761500000000064 -0.09343699999999654 -0.9315549999999466 -0.03809900000000144 -0.007915000000000231 0.4741400000000124 -0.42515500000001166 -0.25625000000001047 -0.669360000000021 0.01958900000000076 -0.3930649999999867 0.47349999999997366 -0.43136500000002026 0.023128499999999087 0.19089250000000418 -0.772390000000022 0.22728999999999347 -0.13696700000000267 -0.5800099999999897 0.7660750000000006 -0.6468700000000195 0.029446000000000055 0.49400500000001046 -0.21798499999999882
9q5bh,0.825424999999996 -0.498015000000007 0.4272700000000081 -0.7002599999999854 0.534695000000011 0.7751250000000025 0.39267000000000657 0.7845099999999837 -0.006879999999999968 0.49641500000000194 -0.02514150000000014 -0.9751049999999897 -0.3651500000000118 -0.41964999999999303 -0.06902049999999889 -0.9241700000000034 0.5809400000000136 0.6922499999999793 -0.38663000000000974 0.06077150000000099 0.21027950000000575 0.17748000000000222 -0.7321600000000139 0.35620999999999203 0.4309549999999946 -0.2873800000000004 0.361215000000003 -1.1249000000000198 -0.010118500000000235 0.03004649999999997 -0.05454449999999927 0.12223050000000053 0.21611500000000167 0.8219599999999916 -0.27357999999999894 -0.17140499999999512 0.469425000000001 -0.433499999999992 0.47557999999999584 0.2953050000000002 0.11964050000000195 -0.49266000000000065 -0.9342000000000026 -0.5584750000000035 0.9278650000000068 -0.29406000000000165 -0.5101849999999897 -0.8137749999999878 -0.017959999999999872 -0.0034334999999999496 -0.1972379999999988 -0.33449000000000284 -0.4106550000000079 -0.4951399999999945 0.25616999999999773 -2.545750000000074 -0.29602999999999363 0.2787999999999941 1.5438500000000173 0.8284999999999859 -1.3266000000000293 0.8626249999999857 -0.0463969999999993 -1.1350700000000242 -0.2560149999999955 -0.7377400000000061 0.3881700000000021 0.13102000000000372 -0.402049999999989 1.256900000000015 -0.1892834999999953 0.7715249999999971 -1.0058649999999953 0.03469900000000066 0.22407000000000388 -0.64044000000001 0.36761500000000064 -0.09343699999999823 -0.9315549999999928 -0.03809900000000054 -0.007914999999999967 0.47413999999999507 -0.4251550000000066 -0.2562500000000006 -0.6693599999999902 0.019588999999999874 -0.39306499999999306 0.4734999999999954 -0.43136500000001404 0.02312849999999952 0.1908924999999961 -0.7723899999999808 0.22729000000000255 -0.13696699999999867 -0.5800100000000078 0.7660750000000006 -0.6468700000000068 0.029446000000000076 0.49400500000000636 -0.21798499999999885
9q5br,0.8254249999999957 -0.49801499999997634 0.4272699999999972 -0.7002600000000249 0.5346950000000371 0.7751249999999591 0.39266999999997737 0.784509999999967 -0.006880000000000037 0.4964150000000074 -0.02514149999999896 -0.9751049999999871 -0.3651499999999947 -0.4196500000000239 -0.06902049999999577 -0.9241699999999521 0.5809400000000376 0.6922500000000141 -0.38662999999998815 0.06077149999999742 0.2102795000000013 0.17748000000000252 -0.7321600000000184 0.356210000000011 0.4309550000000208 -0.2873799999999913 0.3612150000000091 -1.12489999999994 -0.010118500000000566 0.030046499999998495 -0.05454450000000046 0.12223050000000056 0.2161149999999921 0.8219600000000202 -0.27358000000000837 -0.17140499999999387 0.46942500000000104 -0.4335000000000055 0.47558000000001927 0.2953049999999913 0.11964050000000238 -0.49265999999996957 -0.9342000000000075 -0.5584750000000269 0.9278650000000669 -0.29405999999997945 -0.5101850000000172 -0.8137750000000379 -0.017960000000000503 -0.003433499999999902 -0.19723800000000896 -0.33448999999998436 -0.41065500000000005 -0.4951399999999932 0.2561699999999975 -2.5457500000001616 -0.2960299999999819 0.2788000000000119 1.5438500000000188 0.828500000000037 -1.3265999999999645 0.8626250000000213 -0.0463969999999996 -1.13506999999995 -0.25601500000000993 -0.7377400000000203 0.38816999999997165 0.13101999999999633 -0.4020499999999994 1.2568999999999586 -0.18928349999999095 0.7715250000000579 -1.0058650000000473 0.03469900000000223 0.224069999999992 -0.6404399999999612 0.3676149999999975 -0.09343699999999605 -0.9315549999999857 -0.0380990000000017 -0.00791500000000031 0.47414000000001755 -0.42515499999999506 -0.2562500000000134 -0.6693600000000391 0.01958900000000139 -0.3930649999999848 0.4734999999999938 -0.43136500000000266 0.02312849999999896 0.1908925000000075 -0.7723900000000373 0.2272900000000029 -0.13696700000000844 -0.5800099999999687 0.7660750000000006 -0.6468700000000233 0.029445999999998366 0.4940050000000117 -0.2179849999999988
9qh43,0.8254249999999972 -0.49801499999999893 0.4272699999999967 -0.7002599999999951 0.5346949999999994 0.7751250000000022 0.39266999999999874 0.7845100000000037 -0.006879999999999999 0.4964150000000002 -0.025141500000000098 -0.9751050000000052 -0.3651499999999999 -0.41965000000000136 -0.0690205000000003 -0.9241700000000023 0.5809399999999985 0.6922500000000011 -0.38662999999999775 0.06077149999999995 0.2102794999999991 0.17748000000000058 -0.7321599999999955 0.35621000000000086 0.43095499999999826 -0.2873799999999992 0.36121500000000106 -1.1249000000000022 -0.010118499999999956 0.03004650000000003 -0.05454450000000032 0.1222305000000004 0.2161150000000006 0.8219599999999965 -0.2735800000000002 -0.171405 0.46942500000000087 -0.43349999999999816 0.4755799999999975 0.2953049999999994 0.11964049999999953 -0.49266000000000065 -0.9342000000000024 -0.5584749999999987 0.9278649999999975 -0.29406000000000143 -0.5101850000000039 -0.8137749999999986 -0.017960000000000066 -0.003433499999999985 -0.19723799999999914 -0.3344900000000014 -0.4106550000000018 -0.495140000000002 0.25616999999999884 -2.5457499999999986 -0.29603000000000146 0.2787999999999995 1.5438500000000068 0.8284999999999971 -1.3265999999999996 0.8626250000000026 -0.046397000000000174 -1.135070000000002 -0.2560149999999998 -0.7377400000000017 0.38817000000000146 0.13101999999999964 -0.40205000000000174 1.256899999999994 -0.1892835000000003 0.7715249999999975 -1.0058649999999976 0.034698999999999855 0.22406999999999902 -0.6404400000000023 0.3676150000000006 -0.09343700000000048 -0.9315550000000026 -0.03809900000000013 -0.007914999999999965 0.4741400000000023 -0.42515500000000084 -0.25625000000000026 -0.6693600000000025 0.019588999999999922 -0.39306500000000294 0.47350000000000114 -0.4313649999999996 0.023128500000000107 0.19089249999999888 -0.7723900000000012 0.22728999999999822 -0.13696699999999923 -0.5800099999999982 0.7660750000000006 -0.6468700000000044 0.02944600000000007 0.4940050000000002 -0.21798499999999915
9q5dk,0.8254249999999959 -0.498015000000008 0.42727000000001353 -0.7002600000000064 0.5346950000000296 0.7751249999999623 0.39266999999998714 0.7845099999999718 -0.006880000000000254 0.4964149999999832 -0.025141499999998797 -0.9751049999999878 -0.36515000000000064 -0.4196500000000148 -0.06902049999999667 -0.9241700000000035 0.5809400000000307 0.6922499999999966 -0.386629999999996 0.06077150000000112 0.21027950000000867 0.17748000000000244 -0.7321600000000171 0.35621000000000236 0.43095500000001324 -0.287379999999994 0.36121500000000817 -1.1248999999999967 -0.01011850000000047 0.03004649999999892 -0.05454450000000194 0.12223050000000055 0.21611500000000183 0.8219599999999909 -0.27357999999999655 -0.17140499999999423 0.46942500000000104 -0.43349999999998745 0.4755800000000125 0.2953049999999939 0.11964050000000226 -0.4926600000000007 -0.9341999999999682 -0.5584750000000201 0.9278650000000496 -0.2940599999999932 -0.5101849999999873 -0.8137750000000219 -0.01795999999999983 -0.003433499999999916 -0.19723800000000918 -0.3344899999999941 -0.41065500000001276 -0.49513999999999353 0.25616999999999757 -2.5457500000001363 -0.2960299999999853 0.27879999999999816 1.5438500000000184 0.8285000000000214 -1.3266000000000018 0.8626249999999833 -0.04639699999999914 -1.1350700000000042 -0.2560149999999949 -0.7377400000000162 0.388169999999982 0.13102000000000358 -0.40205000000000446 1.2568999999999981 -0.1892834999999922 0.771525000000037 -1.0058650000000322 0.03469900000000177 0.22406999999999544 -0.640439999999986 0.36761500000000064 -0.09343699999999668 -0.9315549999999503 -0.03809900000000137 -0.00791500000000021 0.47414000000001105 -0.4251550000000113 -0.2562500000000097 -0.6693600000000162 0.019589000000000585 -0.3930649999999872 0.4734999999999745 -0.43136500000001976 0.023128499999999122 0.19089250000000327 -0.7723900000000178 0.2272899999999942 -0.1369670000000011 -0.5800099999999954 0.7660750000000006 -0.6468700000000185 0.02944600000000008 0.49400500000001013 -0.21798499999999882
9q5dx,0.8254249999999965 -0.49801500000000337 0.4272699999999951 -0.7002599999999983 0.5346949999999994 0.7751250000000024 0.392670000000002 0.784510000000007 -0.0068800000000000874 0.4964150000000057 -0.025141500000000122 -0.9751049999999966 -0.3651499999999999 -0.41964999999999736 -0.06902050000000041 -0.9241700000000029 0.5809399999999983 0.6922500000000013 -0.38662999999999736 0.060771500000000526 0.21027949999999887 0.1774800000000015 -0.7321600000000025 0.3562100000000023 0.43095500000000336 -0.2873800000000002 0.36121499999999734 -1.124900000000012 -0.010118499999999942 0.030046499999999678 -0.05454449999999966 0.12223050000000048 0.2161150000000012 0.8219599999999938 -0.27357999999999877 -0.17140499999999836 0.469425000000001 -0.43350000000000244 0.47558000000000195 0.29530500000000076 0.11964050000000087 -0.4926600000000007 -0.934199999999991 -0.5584749999999938 0.9278649999999973 -0.29406000000000154 -0.5101850000000052 -0.813775000000006 -0.017960000000000215 -0.003433500000000027 -0.19723799999999894 -0.3344899999999988 -0.41065499999999827 -0.4951399999999978 0.2561699999999982 -2.5457499999999986 -0.29603000000000157 0.2788000000000006 1.5438500000000124 0.8285000000000049 -1.3265999999999933 0.862624999999994 -0.046396999999999876 -1.1350699999999987 -0.25601500000000205 -0.7377399999999938 0.38817000000000185 0.13101999999999955 -0.4020500000000021 1.2568999999999853 -0.189283500000001 0.7715249999999972 -1.0058649999999865 0.03469899999999984 0.2240699999999984 -0.6404400000000066 0.36761500000000064 -0.09343700000000094 -0.9315550000000028 -0.03809900000000017 -0.00791500000000003 0.47414000000000367 -0.4251549999999967 -0.25624999999999776 -0.6693600000000004 0.019588999999999898 -0.3930650000000047 0.47350000000000125 -0.4313649999999996 0.0231285000000002 0.1908925000000002 -0.7723899999999924 0.22728999999999747 -0.13696699999999892 -0.5800099999999961 0.7660750000000006 -0.6468700000000002 0.029446000000000076 0.49400499999999464 -0.21798499999999899
9q5b9,0.8254249999999962 -0.49801500000000615 0.4272700000000037 -0.7002599999999948 0.5346949999999994 0.7751250000000025 0.39267000000000557 0.7845099999999933 -0.00687999999999999 0.49641500000000915 -0.025141500000000132 -0.9751049999999913 -0.3651500000000063 -0.419649999999994 -0.0690205000000005 -0.9241700000000032 0.5809399999999999 0.6922499999999908 -0.3866300000000047 0.06077150000000089 0.21027950000000342 0.17748000000000205 -0.7321600000000114 0.3562099999999974 0.43095499999999737 -0.2873800000000057 0.36121499999999884 -1.124900000000018 -0.010118500000000044 0.030046500000000188 -0.054544499999999205 0.1222305000000005 0.21611500000000158 0.821959999999992 -0.2735800000000038 -0.17140499999999584 0.46942500000000104 -0.4334999999999957 0.4755799999999931 0.29530500000000526 0.11964050000000172 -0.4926600000000007 -0.9342000000000064 -0.5584749999999907 0.9278649999999972 -0.29406000000000165 -0.5101849999999933 -0.8137749999999957 -0.017960000000000278 -0.0034334999999999765 -0.19723799999999886 -0.3344899999999983 -0.41065500000000393 -0.4951399999999952 0.2561699999999978 -2.545750000000024 -0.29603000000000035 0.27879999999999555 1.5438500000000162 0.8284999999999936 -1.3266000000000062 0.8626249999999875 -0.04639699999999943 -1.1350700000000185 -0.256014999999997 -0.7377399999999978 0.388170000000002 0.1310200000000028 -0.4020499999999939 1.256899999999991 -0.18928349999999783 0.7715249999999971 -1.0058649999999796 0.03469899999999983 0.22407000000000327 -0.6404400000000092 0.36761500000000064 -0.09343699999999948 -0.9315550000000029 -0.03809899999999988 -0.007914999999999874 0.47413999999999307 -0.4251550000000029 -0.25624999999999615 -0.6693599999999925 0.01958899999999988 -0.39306499999999783 0.4735000000000013 -0.4313650000000094 0.02312849999999984 0.19089249999999822 -0.7723899999999835 0.22729000000000238 -0.13696699999999873 -0.5800100000000051 0.7660750000000006 -0.6468699999999974 0.02944600000000008 0.49400500000000336 -0.2179849999999989
9q5c7,0.8254249999999959 -0.4980149999999913 0.42727000000001386 -0.7002600000000163 0.5346950000000336 0.7751249999999512 0.3926699999999819 0.7845099999999693 -0.0068800000000002505 0.4964149999999957 -0.025141499999998464 -0.9751049999999875 -0.3651499999999962 -0.4196500000000197 -0.06902049999999618 -0.9241699999999848 0.5809400000000343 0.6922500000000059 -0.38662999999999176 0.06077149999999934 0.2102795000000093 0.1774800000000025 -0.7321600000000178 0.35621000000000697 0.43095500000001724 -0.28737999999999253 0.3612150000000093 -1.1248999999999665 -0.010118500000000521 0.030046499999998692 -0.05454450000000211 0.12223050000000055 0.2161150000000008 0.8219599999999908 -0.2735800000000029 -0.17140499999999403 0.469425000000001 -0.43349999999998895 0.47558000000001605 0.2953049999999925 0.11964050000000233 -0.4926599999999849 -0.9341999999999817 -0.5584750000000238 0.9278650000000588 -0.2940599999999859 -0.5101850000000033 -0.8137750000000304 -0.01796000000000019 -0.0034334999999999084 -0.1972380000000119 -0.3344899999999889 -0.4106550000000138 -0.49513999999999336 0.2561699999999975 -2.54575000000015 -0.2960299999999835 0.27880000000000554 1.5438500000000186 0.8285000000000298 -1.326599999999982 0.8626249999999867 -0.046396999999999106 -1.1350699999999754 -0.2560150000000029 -0.7377400000000184 0.3881699999999764 0.13101999999999972 -0.4020500000000085 1.256899999999977 -0.18928349999999153 0.7715250000000482 -1.0058650000000402 0.03469900000000201 0.2240699999999936 -0.6404399999999727 0.36761500000000064 -0.09343699999999634 -0.9315549999999614 -0.03809900000000155 -0.007915000000000264 0.4741400000000145 -0.42515500000001194 -0.2562500000000117 -0.6693600000000285 0.019589000000001015 -0.3930649999999859 0.4734999999999818 -0.4313650000000191 0.023128499999999035 0.19089250000000552 -0.7723900000000282 0.2272899999999962 -0.136967000000005 -0.5800099999999812 0.7660750000000006 -0.646870000000021 0.02944599999999937 0.49400500000001096 -0.21798499999999882
9qh13,0.8254249999999962 -0.49801500000000565 0.42727000000000104 -0.7002600000000004 0.5346949999999994 0.7751250000000024 0.3926700000000049 0.7845099999999992 -0.006880000000000022 0.49641500000000854 -0.025141500000000132 -0.9751049999999922 -0.36515000000000297 -0.4196499999999946 -0.06902050000000048 -0.9241700000000032 0.5809399999999983 0.6922499999999979 -0.38663000000000153 0.060771500000000825 0.21027950000000198 0.17748000000000194 -0.7321600000000098 0.3562100000000007 0.43095499999999953 -0.28738000000000513 0.3612149999999963 -1.124900000000017 -0.010118499999999933 0.030046500000000066 -0.05454449999999929 0.1222305000000005 0.2161150000000015 0.8219599999999924 -0.27358000000000293 -0.17140499999999628 0.46942500000000104 -0.43349999999999794 0.47557999999999523 0.29530500000000554 0.11964050000000157 -0.4926600000000007 -0.9342000000000024 -0.5584749999999913 0.9278649999999972 -0.2940600000000016 -0.5101849999999956 -0.8137750000000005 -0.017960000000000295 -0.0034334999999999934 -0.1972379999999989 -0.3344899999999955 -0.41065500000000155 -0.4951399999999957 0.2561699999999979 -2.5457499999999986 -0.2960300000000016 0.27879999999999644 1.5438500000000155 0.8284999999999982 -1.3265999999999922 0.8626249999999887 -0.04639699999999951 -1.1350700000000151 -0.256014999999998 -0.7377399999999928 0.38817000000000196 0.13102000000000222 -0.4020499999999969 1.2568999999999806 -0.18928349999999938 0.7715249999999972 -1.005864999999981 0.034698999999999834 0.22407000000000196 -0.6404400000000088 0.36761500000000064 -0.09343700000000024 -0.9315550000000029 -0.038098999999999716 -0.007914999999999905 0.4741399999999955 -0.42515500000000056 -0.2562499999999964 -0.6693599999999938 0.01958899999999988 -0.3930650000000007 0.4735000000000013 -0.43136500000000655 0.023128500000000034 0.19089249999999952 -0.772389999999985 0.2272900000000011 -0.13696699999999876 -0.5800100000000036 0.7660750000000006 -0.646869999999992 0.02944600000000008 0.49400500000000147 -0.2179849999999989
